Question,Category,Retrieved Chunks,Confidence Passed,Citation Present,Latency (ms),Model Used,Generated Answer,Expected Answer
What is the policy for annual leave?,in_domain,3,True,Yes,9553.75,Gemini Flash,"The provided context does not contain information specifically regarding an ""annual leave"" policy. 

However, the document details the policy for **Earned Leave (EL)**:
* **Entitlement:** 12 Earned Leaves are available after 1 year of service with the organization.
* **Carry Forward:** A maximum of 8 Earned Leaves can be carried forward to the next year.
* **Approval:** Leaves must be approved by the reporting manager before the employee proceeds on leave.
* **Advance Application:**
  * **Short-term EL (≤ 3 days):** Must be applied for at least 7 days in advance of the leave start date.
  * **Long-term EL (> 3 days):** Must be applied for at least 4 weeks in advance of the leave start date.

*(Source: HR Manual.pdf, Page: 17)*",Employees are entitled to 20 days of paid annual leave per calendar year.
How many casual leaves are allowed per year?,in_domain,3,True,Yes,5341.52,Gemini Flash,"An employee is allowed 6 Casual Leaves (CL). 

(Source: HR Manual.pdf, Page: 18)",Employees are granted 6 casual leaves annually.
What is the password renewal policy?,in_domain,3,True,Yes,11732.83,Gemini Flash,"Based on the provided context, the specific details of the password renewal policy are not available in the uploaded document(s). 

The context only states that password controls regarding generation, usage, and modification are governed by the ""User Password Management Process"" (Source: Access Control Policy.pdf, Page: 3), but it does not specify the renewal timeframe or rules.",Passwords must be updated every 90 days following security guidelines.
Does remote work require manager approval?,in_domain,3,True,Yes,5377.79,Gemini Flash,"Yes, remote work (Work From Home/WFH) requires manager approval. 

According to the policy:
* WFH must be applied for and approved in Keka in advance prior to the commencement of the remote workday.
* Reporting managers review the necessity of each request and can approve WFH requests for reasons such as parenting, bad weather, family emergencies, or medical reasons.

(Source: HR Manual.pdf, Page: 25)","Yes, remote work arrangements require prior written manager approval."
What is the procedure for sick leave exceeding 3 days?,in_domain,3,True,Yes,12871.04,Gemini Flash,"Based on the provided document, there is no specific procedure mentioned exclusively for sick leave ""exceeding 3 days."" However, for sick leave extending **beyond 2 days** in a row, the procedure is as follows:

* Any excess days of leave taken beyond 2 days will be treated as **leave without pay**.
* The **Project Manager** and the **HR department** have the discretionary power to sanction sick leave beyond two days in a row on a case-to-case basis.

(Source: HR Manual.pdf, Page: 18)",A doctor certificate is required for sick leave exceeding 3 consecutive days.
What are the standard office working hours?,in_domain,3,True,Yes,5054.22,Gemini Flash,"The regularly scheduled working hours for the Company are Monday to Friday from 10:00 A.M. to 7:00 P.M. This includes up to 40 minutes for lunchtime (which can be chosen between 1:00 P.M. and 3:00 P.M.) and 20 minutes of short breaks (Source: HR Manual.pdf, Page: 15).","Standard working hours are 9:00 AM to 5:00 PM, Monday through Friday."
What is the policy on company laptop usage?,in_domain,3,True,Yes,5447.27,Gemini Flash,"Based on the provided document, the policy regarding company laptop usage (and other hardware/assets) includes the following requirements:

* **Safe Custody:** Any laptop in the employee's custody must be kept in safe custody.
* **Reporting Damage or Loss:** Any theft, loss, or physical damage to the laptop must be immediately brought to the notice of the Company.
* **Cost Recovery:** In the case of theft or loss of the laptop, the Company may recover the cost from the employee.

(Source: HR Manual.pdf, Page: 38)",Company laptops are for official business use and must remain encrypted.
How is travel expense reimbursement submitted?,in_domain,3,True,No,1481.26,Gemini Flash,"Gemini API Error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3.6-flash\nPlease retry in 52.635353855s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.6-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '52s'}]}}",Travel expense receipts must be submitted via the finance portal within 14 days.
Who won the FIFA World Cup in 2022?,out_of_domain,3,True,No,1443.12,Gemini Flash,"Gemini API Error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3.6-flash\nPlease retry in 51.182774784s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.6-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '51s'}]}}",I couldn't find enough relevant information in the uploaded document(s) to answer that question.
What is the recipe for baking a chocolate cake?,out_of_domain,3,True,No,1842.49,Gemini Flash,"Gemini API Error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-3.6-flash\nPlease retry in 49.336104564s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.6-flash'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '49s'}]}}",I couldn't find enough relevant information in the uploaded document(s) to answer that question.
